name,merchant_id,avg_processed,GMV_all,avg_active_days,total_lost_n_damaged,avg_returned,avg_24,avg_24_48,avg_48,max_processed_date,order_post_30,is_churn,total_complain,max_created_at,solved_at,delta
Sweet Tea - Dhanmondi,49541,1,60,1,0,0,1,0,0,2022-04-29,2,0,,,,
Glamour & beauty,5866,4,4805,3,0,1,4,0,0,2022-04-24,2,0,,,,
LIGHT'S LOVER HOUSE,63536,2,550,1,0,0,0,0,0,2022-04-27,1,0,,,,
Aongona,18260,1,1680,1,0,0,1,0,0,2022-04-24,0,1,,,,
MAVLYN,61262,1,1760,1,0,0,1,0,0,2022-04-16,0,1,,,,
Jannatul Collection,33732,5,7010,5,0,0,1,0,0,2022-04-23,0,1,,,,
BD Beauty shopping,43322,1,100,1,0,0,0,0,0,2022-04-20,0,1,,,,
URME clothes and cosmetics,61627,1,120,1,0,0,0,0,0,2022-04-28,0,1,,,,
Loving Secret,63300,1,80,1,0,0,1,0,0,2022-04-28,1,0,,,,
USHA FLORA,62867,1,260,1,0,0,1,0,0,2022-04-27,1,0,,,,
Little Extraa,19815,2,3000,1,0,0,2,0,0,2022-04-26,0,1,,,,
Stylish.BD 2,63111,21,19700,4,0,1,5,3,3,2022-04-29,5,0,,,,
Afroja's Collection,6745,10,10913,7,0,0,7,1,0,2022-04-26,3,0,,,,
AL-ILM KUTUBKHANA,14418,2,240,1,0,0,2,0,0,2022-04-08,0,1,,,,
P store,36694,1,1000,1,0,0,0,0,0,2022-04-11,0,1,,,,
Modest Malabis,15494,1,650,1,0,0,1,0,0,2022-04-16,2,0,,,,
Happy Fashion bd,924,2,1520,1,0,0,2,0,0,2022-04-18,0,1,,,,
LadyLove,60836,1,850,1,0,0,0,0,0,2022-04-28,2,0,,,,
French Fries BD,38986,1,100,1,0,0,0,0,0,2022-04-10,0,1,,,,
Pearl Diver,31763,1,1000,1,0,0,0,0,0,2022-04-28,0,1,,,,
Ayesha Akhter,50969,3,1673,2,0,0,1,1,0,2022-04-04,0,1,,,,
Glamour  Beauty,63216,43,30080,9,0,1,2,0,0,2022-04-29,179,0,,,,
Bandorban KIOSK,32349,7,693,2,0,0,0,0,1,2022-04-26,2,0,,,,
CHroma,8485,5,2445,3,0,0,3,1,1,2022-04-17,0,1,,,,
Closet assistant,7030,1,1700,1,0,0,1,0,0,2022-04-26,0,1,,,,
The Mars shop bd,61868,1,270,1,0,0,1,0,0,2022-04-25,0,1,,,,
Organic Waver,52503,1,690,1,0,0,0,0,0,2022-04-25,0,1,,,,
Trendy Needs,17133,1,1285,1,0,0,1,0,0,2022-04-23,0,1,,,,
Horekz 2,53000,39,21650,9,0,5,3,1,0,2022-04-28,0,1,,,,
Diva's Destination by Cherry,31319,2,240,2,0,0,0,0,0,2022-04-21,0,1,,,,
Anis Telecom (KIOSK),51725,3,194,3,0,0,2,0,0,2022-04-25,1,0,,,,
Kaniz Fashion,61233,16,29490,7,0,0,4,0,0,2022-04-08,0,1,,,,
Zyaan Collection,6238,6,12783,5,0,0,6,0,0,2022-04-28,6,0,,,,
Home Tex Bangladesh,63104,1,60,1,0,0,1,0,0,2022-04-29,20,0,,,,
sahanaj fashion Fashion House BD,36476,1,100,1,0,0,0,0,0,2022-04-28,0,1,,,,
Beauty Bush,63253,2,1230,2,0,0,0,1,0,2022-04-15,0,1,,,,
Jari House,8364,4,5090,4,0,0,3,0,0,2022-04-23,1,0,,,,
OM Honey Shop01,36415,2,850,2,0,0,0,1,0,2022-04-26,0,1,,,,
Aquatic Plants,37631,6,1473,5,0,0,4,0,0,2022-04-28,4,0,,,,
Guitar Hall School Of Music,34623,3,3760,3,0,0,0,0,1,2022-04-27,1,0,,,,
Urochithi,60034,2,755,2,0,0,0,1,0,2022-04-26,0,1,,,,
Smrity fashion house,47499,4,1030,3,0,1,2,1,0,2022-04-22,0,1,,,,
Buy 360 Shop,37138,9,11610,6,0,1,0,0,2,2022-04-05,0,1,,,,
Bongo Haat,62103,2,170,2,0,0,1,0,0,2022-04-26,0,1,,,,
Mj Gallery,11894,9,13930,4,0,0,0,0,0,2022-04-05,0,1,,,,
7starhut.com,7669,26,39016,14,0,2,11,1,0,2022-04-05,0,1,,,,
Anady,17965,1,1550,1,0,0,1,0,0,2022-04-30,2,0,,,,
J's GirlyFashion,60491,2,2772,2,0,0,0,1,1,2022-04-18,0,1,,,,
Comfort,748,1,160,1,0,0,0,0,0,2022-04-28,27,0,,,,
I & M,62906,8,10070,3,0,0,3,3,0,2022-04-25,6,0,,,,
Opshoris Dream,3203,1,70,1,0,0,1,0,0,2022-04-22,0,1,,,,
Nazias creation,6423,5,3910,2,0,1,3,0,0,2022-04-05,0,1,,,,
Rinai,62143,5,371,5,0,0,1,0,0,2022-04-24,0,1,,,,
Ismail Genaral Store (KIOSK),48261,2,159,2,0,0,1,0,0,2022-04-19,2,0,,,,
Good-Morrow,42116,7,5950,4,0,3,1,2,1,2022-04-03,0,1,,,,
Salsalin,19888,5,5590,4,0,0,0,0,0,2022-04-23,0,1,,,,
Jannat Handicrafts,28955,5,1510,3,0,0,3,0,0,2022-04-26,1,0,,,,
KHANS DECOR,53786,8,8750,4,0,0,6,0,0,2022-04-29,0,1,,,,
Aoric fashion,39136,1,100,1,0,0,0,1,0,2022-04-10,0,1,,,,
Glam World,9544,2,101,2,0,0,2,0,0,2022-04-05,0,1,,,,
Amena trading,59955,1,1,1,0,0,1,0,0,2022-04-20,0,1,,,,
WR Wear House,58006,2,940,2,0,1,1,0,0,2022-04-26,0,1,,,,
Nurabedin.com,12864,4,7280,2,0,0,1,0,0,2022-04-24,0,1,,,,
Minoxidil Group Bangladesh,36592,4,5580,2,0,0,1,1,0,2022-04-29,0,1,,,,
LADY Clothings,54953,2,1310,2,0,0,2,0,0,2022-04-25,0,1,,,,
Women's zone-ctg,28205,1,710,1,0,0,0,0,0,2022-04-27,2,0,,,,
Baby Bliss,12544,6,11390,5,0,0,4,0,0,2022-04-25,1,0,,,,
The Kawaii Factory,42479,1,120,1,0,0,0,0,0,2022-04-12,0,1,,,,
EndGlow,63557,5,2790,3,0,0,1,0,0,2022-04-28,2,0,,,,
Marina's Online Collections,6120,3,1280,1,0,0,2,0,0,2022-04-21,0,1,,,,
Threadens.Officials,34567,3,4980,3,0,0,0,0,0,2022-04-27,2,0,,,,
Amethyst Arise Dhaka,63135,2,5660,2,0,0,0,0,0,2022-04-23,0,1,,,,
Fashioncloth.com,21782,2,2650,2,0,0,0,0,0,2022-04-25,0,1,,,,
ESNL FASHIONHOUSE,14920,1,100,1,0,0,0,0,0,2022-04-29,0,1,,,,
Platinamo Gadgets,19790,1,700,1,0,0,0,0,0,2022-04-12,0,1,,,,
Beanibazar Hub KIOSK,56216,1,50,1,0,0,0,0,0,2022-04-26,0,1,,,,
Taru Fashion House,9942,3,2860,1,0,0,2,0,0,2022-04-28,6,0,,,,
Dream Stars,44404,3,993,2,0,0,2,0,1,2022-04-03,0,1,,,,
Tabia's Corner,5401,3,1055,3,0,0,3,0,0,2022-04-27,6,0,,,,
Z's Closet BD,36724,1,730,1,0,0,1,0,0,2022-04-21,0,1,,,,
T&CO.,61797,1,1480,1,0,0,1,0,0,2022-04-17,0,1,,,,
PRASANNA,47043,1,90,1,0,0,1,0,0,2022-04-19,0,1,,,,
Rafiqul Enterprise (KIOSK),53799,3,323,2,0,0,0,0,0,2022-04-30,4,0,,,,
MIRROR N GIRLS,30478,2,2900,2,0,0,2,0,0,2022-04-28,4,0,,,,
JMS Mart,62297,4,5130,4,0,1,0,2,1,2022-04-13,0,1,,,,
Mannequin by Afrin,62318,7,17960,5,0,0,2,0,0,2022-04-12,0,1,,,,
Craftsman Footwear and Accessories Ltd,6958,2,2135,2,0,0,1,1,0,2022-04-21,0,1,,,,
RoseLeen,60236,1,550,1,0,0,0,0,0,2022-04-30,6,0,,,,
Mukti  Boutique House,37066,6,1530,5,0,0,0,0,0,2022-04-27,0,1,,,,
Bani'S world,37268,1,280,1,0,0,0,0,0,2022-04-23,8,0,,,,
DreamCloth.BD,52688,1,400,1,0,0,0,0,0,2022-04-21,1,0,,,,
Aroosh hijab beauty,61302,3,2580,1,0,0,1,0,0,2022-04-24,0,1,,,,
Infa,29674,1,1200,1,0,0,0,0,0,2022-04-24,4,0,,,,
Akkhor Computer (C2C),55663,5,260,4,0,0,3,0,0,2022-04-26,10,0,,,,
arabi fashion,31508,6,4810,6,0,1,2,0,0,2022-04-09,0,1,,,,
Sonia Jewellery,61137,4,1330,3,0,1,3,0,0,2022-04-27,0,1,,,,
Chayabithy,27781,2,1270,2,0,0,2,0,0,2022-04-06,0,1,,,,
El Estilo,54459,3,6596,3,0,0,1,1,0,2022-04-03,0,1,,,,
Barakat Electronics & Electric(KIOSK),58078,3,189,3,0,0,0,0,2,2022-04-04,0,1,,,,
Classy Outlet,47918,1,100,1,0,0,0,0,0,2022-04-26,0,1,,,,
BushArts,30551,1,485,1,0,0,1,0,0,2022-04-08,0,1,,,,
JUTHI'S CLOSET,63170,2,7100,2,0,0,1,0,0,2022-04-12,0,1,,,,
Yesha,54339,1,1880,1,0,0,0,0,1,2022-04-02,0,1,,,,
Sharminaz Baggage,21538,1,1235,1,0,0,0,0,0,2022-04-20,2,0,,,,
Hikikomori,36482,2,780,2,0,0,1,0,0,2022-04-18,0,1,,,,
Aahil Garments,28458,1,630,1,0,0,1,0,0,2022-04-27,0,1,,,,
Holuder Gohona by Monika,50432,1,1100,1,0,0,0,0,0,2022-04-27,3,0,,,,
Differenza,21989,2,2140,2,0,0,1,1,0,2022-04-15,0,1,,,,
Zafinas Fashion,57697,2,8780,2,0,0,1,0,0,2022-04-29,2,0,,,,
Anime Kingdom,41747,3,960,3,0,0,1,0,0,2022-04-14,0,1,,,,
Creamy Creations,6653,2,1140,1,0,0,2,0,0,2022-04-23,7,0,,,,
Faizan Fashion,63634,1,100,1,0,1,0,0,0,2022-04-21,0,1,,,,
Rosemary Decor Products,30212,4,1760,3,0,0,2,0,0,2022-04-01,0,1,,,,
Material Zone,5389,2,378,1,0,0,1,0,0,2022-04-30,0,1,,,,
Women's Shop,56291,1,60,1,0,0,1,0,0,2022-04-26,0,1,,,,
OMAR'S,26983,3,791,3,0,0,3,0,0,2022-04-19,2,0,,,,
6GRAPHIX,47764,1,380,1,0,0,1,0,0,2022-04-28,0,1,,,,
ZWARTY,21774,1,150,1,0,0,0,0,0,2022-04-20,0,1,,,,
20 to 99,41664,6,2740,3,0,0,0,0,0,2022-04-19,0,1,,,,
Boutiques dress,26774,1,100,1,0,0,0,0,0,2022-04-20,0,1,,,,
Hoor's Fashion Zone,37080,5,495,2,0,0,1,0,0,2022-04-20,0,1,,,,
LightUp,38187,3,2480,2,0,0,2,0,0,2022-04-19,0,1,,,,
Swiss Mega Mall Ltd.,35775,2,3710,2,0,0,1,0,0,2022-04-26,1,0,,,,
Topsi (C2C),51475,2,159,2,0,0,1,0,0,2022-04-15,0,1,,,,
Bimurto,59673,4,260,2,0,0,3,0,0,2022-04-24,28,0,,,,
SCARLET PARADISE,20773,2,7260,2,0,0,0,0,0,2022-04-30,7,0,,,,
Aklima's Almirah,56498,1,670,1,0,0,0,0,0,2022-04-20,0,1,,,,
TAT Outfits,60803,4,15620,2,0,1,2,2,0,2022-04-29,11,0,,,,
Rongdhonu Artificial Collection,26933,1,650,1,0,0,0,0,0,2022-04-12,0,1,,,,
Butterfliesh Shop,52221,1,450,1,0,0,0,0,0,2022-04-29,3,0,,,,
Atlantis Aquariums ERB,41491,1,300,1,0,0,0,0,0,2022-04-27,1,0,,,,
MR. e-SHOP,26369,1,120,1,0,0,0,1,0,2022-04-13,0,1,,,,
Collection Planet,62814,1,440,1,0,0,1,0,0,2022-04-26,0,1,,,,
Arabi's Collections,5800,2,16000,2,0,0,0,1,1,2022-04-24,0,1,,,,
Amazing By Samrin,39122,1,200,1,0,0,0,0,0,2022-04-27,0,1,,,,
Megacy Fashion Hut,2813,1,2010,1,0,0,0,0,0,2022-04-25,0,1,,,,
Hee'Jaabe Veil,37556,1,650,1,0,0,0,0,0,2022-04-29,11,0,,,,
Inner Haven,19774,36,33997,15,0,1,19,4,1,2022-04-29,36,0,1,2022-04-03,2022-04-03,0
Mansoury,58427,17,24102,7,0,0,5,4,1,2022-04-28,10,0,1,2022-04-03,2022-04-03,0
Glamscape,30128,261,302708,27,0,6,200,17,6,2022-04-30,188,0,1,2022-04-03,2022-04-03,0
Party Up - Plan Elegance,19484,42,45165,18,0,0,29,4,1,2022-04-28,42,0,0,2022-04-03,2022-04-03,0
Attires,36181,3,995,3,0,0,1,0,0,2022-04-28,37,0,1,2022-04-02,2022-04-03,1
The Korean Shop,36547,10,20807,7,0,0,1,1,0,2022-04-27,3,0,1,2022-04-02,2022-04-03,1
Zara Treading,36251,16,6606,10,0,0,10,2,0,2022-04-29,4,0,1,2022-04-01,2022-04-03,2
G-SHOCK WATCH BD,28953,10,17032,7,0,1,5,0,0,2022-04-28,3,0,1,2022-04-03,2022-04-03,0
Rabko Express,50776,18,16752,10,0,1,0,1,2,2022-04-27,1,0,1,2022-04-02,2022-04-03,1
Euphoria Cosmetics Market,55542,10,17610,7,0,0,6,1,1,2022-04-06,0,1,0,2022-04-03,2022-04-03,0
Bristy Store BD,28289,44,43933,18,0,2,16,2,2,2022-04-24,46,0,0,2022-04-03,2022-04-03,0
Ridisha B,61703,73,105100,24,0,0,39,3,1,2022-04-25,11,0,1,2022-04-02,2022-04-03,1
BLAK,35673,200,167359,20,0,11,152,14,4,2022-04-30,67,0,1,2022-04-02,2022-04-03,1
Okkhorshop,36076,4,2093,3,0,0,2,0,0,2022-04-15,2,0,1,2022-04-02,2022-04-03,1
Crafti baby club,20043,5,2698,3,0,0,4,0,0,2022-04-25,3,0,1,2022-04-01,2022-04-03,2
Ezzex BD,30896,36,51073,9,0,1,2,14,3,2022-04-26,15,0,2,2022-04-02,2022-04-03,1
TechBuzzol,42092,52,49396,16,0,3,5,0,0,2022-04-10,0,1,1,2022-04-02,2022-04-03,1
Nahi's handicrafts,11108,70,59460,23,0,1,27,3,0,2022-04-29,100,0,1,2022-04-02,2022-04-03,1
NABINA's,28517,11,8563,7,0,0,9,1,0,2022-04-29,18,0,0,2022-03-30,2022-04-03,4
Saffirs collections,57253,43,16101,8,0,2,6,1,1,2022-04-27,0,1,1,2022-04-03,2022-04-03,0
Basket of Beauty & Fashion,21445,47,52557,13,0,0,22,2,0,2022-04-29,42,0,1,2022-04-02,2022-04-03,1
AmarBaby.com,7192,28,28205,12,0,0,17,1,0,2022-04-27,5,0,1,2022-04-03,2022-04-03,0
Wazeenah,63116,37,34020,8,0,2,19,2,0,2022-04-30,50,0,1,2022-04-03,2022-04-03,0
Hasi Mukh Gadgets,15981,3,4773,3,0,0,2,0,0,2022-04-22,2,0,1,2022-04-02,2022-04-03,1
Royal Market,53587,3,2780,3,0,0,0,0,0,2022-04-23,2,0,0,2022-04-03,2022-04-03,0
Prothoma,5419,92,107998,24,0,3,40,8,1,2022-04-27,26,0,1,2022-04-02,2022-04-03,1
Florus BD,48587,28,45590,4,0,0,9,1,1,2022-04-27,11,0,1,2022-03-31,2022-04-03,3
Mukto Nondini,63612,3,3540,2,0,0,0,0,0,2022-04-26,3,0,1,2022-04-03,2022-04-03,0
Petuk Vaiyer Company,58965,8,6002,4,0,1,1,1,0,2022-04-27,0,1,1,2022-04-03,2022-04-03,0
Anbi closet,19992,12,11653,4,0,0,1,0,0,2022-04-20,0,1,0,2022-04-03,2022-04-03,0
Rose Fashion,10337,12,19527,8,0,0,0,0,0,2022-04-07,0,1,2,2022-04-01,2022-04-03,2
Nanarokom.com,10266,187,194024,30,0,4,1,0,0,2022-04-27,101,0,0,2022-04-03,2022-04-03,0
Sneakers Corner Bd,45170,3,8750,2,0,0,2,0,0,2022-04-02,0,1,1,2022-04-02,2022-04-03,1
Sparkles desire,43067,13,4195,5,0,0,7,2,0,2022-04-29,1,0,1,2022-04-02,2022-04-03,1
Tiashy's collection,23825,24,18810,11,0,0,13,1,0,2022-04-28,3,0,2,2022-04-03,2022-04-03,0
Golpe Kabye Saree,10039,5,14992,4,0,0,0,0,4,2022-04-26,1,0,1,2022-04-03,2022-04-03,0
Rongon Herbals,7734,550,332377,23,0,7,141,21,4,2022-04-30,524,0,1,2022-04-01,2022-04-03,2
Needle Work,14385,5,5117,3,0,0,0,1,1,2022-04-27,0,1,1,2022-04-03,2022-04-03,0
Univi Gadget's,26432,2,1530,2,0,0,0,0,0,2022-04-03,0,1,0,2022-04-02,2022-04-03,1
SAJABO,45166,4,3403,3,0,0,1,1,0,2022-04-30,3,0,1,2022-04-03,2022-04-03,0
Modern Dresses Gallery,35893,4,5513,3,0,0,0,1,0,2022-04-24,0,1,1,2022-04-02,2022-04-03,1
PRATYUSHA,18244,1,700,1,0,0,1,0,0,2022-04-02,0,1,0,2022-04-02,2022-04-03,1
jannatcollectionchattagram,35184,36,30766,11,0,1,6,4,1,2022-04-25,25,0,1,2022-03-30,2022-04-03,4
Gentle World,29520,6,8781,4,0,0,4,0,0,2022-04-26,1,0,1,2022-04-02,2022-04-03,1
Aloka Ethnic,15516,1,1055,1,0,0,1,0,0,2022-04-25,0,1,1,2022-04-03,2022-04-03,0
Nineties Nostalgia,33956,10,11648,7,0,0,7,1,0,2022-04-24,4,0,1,2022-03-30,2022-04-03,4
mishumart.com,11080,4,3010,2,0,0,1,0,0,2022-04-03,0,1,1,2022-04-03,2022-04-03,0
Any Time Shop,61443,1,1920,1,0,0,0,0,0,2022-04-24,1,0,1,2022-04-03,2022-04-03,0
Bilashi Bela,7404,1,1850,1,0,0,1,0,0,2022-04-02,0,1,1,2022-04-02,2022-04-03,1
easy buy,35335,3,2485,1,0,0,3,0,0,2022-04-11,0,1,0,2022-04-03,2022-04-03,0
LOYALO SPORTS,2642,12,5073,3,0,0,9,1,0,2022-04-17,0,1,0,2022-04-04,2022-04-04,0
Be Glam By Safrin,5493,260,438680,23,0,8,71,11,4,2022-04-30,222,0,0,2022-04-04,2022-04-04,0
Stay Classy,3551,85,145869,26,0,2,62,11,2,2022-04-28,21,0,1,2022-04-04,2022-04-04,0
Mukta bd,48148,73,93284,25,0,11,5,1,1,2022-04-25,5,0,0,2022-04-04,2022-04-04,0
T-4 Products Services,15317,3,6275,3,0,0,3,1,0,2022-04-22,6,0,1,2022-04-04,2022-04-04,0
Head2Toe,18336,46,38593,10,0,0,13,2,1,2022-04-27,46,0,1,2022-04-03,2022-04-04,1
Syemuna Rahman,35667,34,69146,12,0,1,18,2,1,2022-04-26,3,0,2,2022-04-04,2022-04-04,0
DreamWorld,59066,3,235,3,0,0,0,0,0,2022-04-27,1,0,0,2022-04-04,2022-04-04,0
Bagmia,42106,18,31670,12,0,0,10,1,0,2022-04-29,6,0,1,2022-04-03,2022-04-04,1
Allure Fashion,5063,52,105501,15,0,2,28,3,2,2022-04-27,2,0,1,2022-04-04,2022-04-04,0
PMS Fashion,27722,40,21440,12,0,1,21,2,1,2022-04-20,21,0,0,2022-04-04,2022-04-04,0
Buy Anything,4240,15,14322,2,0,0,2,1,0,2022-04-25,48,0,1,2022-04-04,2022-04-04,0
Teedrobe,49130,140,79670,14,0,6,54,5,2,2022-04-30,26,0,2,2022-04-04,2022-04-04,0
Shopno Gallery,5915,26,41313,12,0,2,10,3,1,2022-04-29,34,0,1,2022-04-02,2022-04-04,2
Jonaki Fragrance,42143,53,80844,18,0,1,27,1,1,2022-04-28,21,0,1,2022-04-04,2022-04-04,0
Deshi shilpo Bebohar Kori CTG,17762,4,5377,4,0,0,1,0,0,2022-04-26,5,0,1,2022-04-02,2022-04-04,2
Lunar BD,28280,32,82683,15,0,1,23,2,0,2022-04-29,33,0,1,2022-04-04,2022-04-04,0
LEVAS,32598,3,7510,2,0,0,2,0,0,2022-04-29,0,1,1,2022-04-04,2022-04-04,0
UniqueO,31088,6,9967,5,0,0,2,1,0,2022-04-28,3,0,0,2022-04-04,2022-04-04,0
Prat,44953,4,856,2,0,1,0,0,1,2022-04-24,1,0,2,2022-04-04,2022-04-04,0
ladies fashion,3398,5,3725,4,0,0,3,1,0,2022-04-29,0,1,0,2022-04-04,2022-04-04,0
Nandonkanon,11328,37,59327,12,0,0,17,2,0,2022-04-29,60,0,1,2022-04-03,2022-04-04,1
Bipony.xyz,46921,3,1995,1,0,0,0,0,0,2022-04-02,0,1,1,2022-04-03,2022-04-04,1
MarYam's Closet,7773,1,80,1,0,0,1,0,0,2022-04-03,0,1,1,2022-04-02,2022-04-04,2
Nirjhorini Crafts,39255,2,305,2,0,0,0,1,1,2022-04-23,1,0,1,2022-04-02,2022-04-04,2
PinKush,3694,6,5085,3,0,0,0,1,4,2022-04-28,22,0,0,2022-04-04,2022-04-04,0
Korean Glow -cosmetics & skincare,3944,58,86891,16,0,0,37,4,1,2022-04-28,41,0,1,2022-04-04,2022-04-04,0
Siyab,48053,28,19022,14,0,0,10,0,0,2022-04-22,17,0,1,2022-04-03,2022-04-04,1
Rose Bianco,56796,25,29460,7,0,0,18,2,0,2022-04-24,4,0,1,2022-04-02,2022-04-04,2
OEC BD,5616,122,74162,14,0,1,96,10,2,2022-04-30,196,0,1,2022-04-02,2022-04-04,2
Vision-26,63939,5,2590,1,0,1,1,1,0,2022-04-04,0,1,2,2022-04-04,2022-04-04,0
Monalisa Page for Dubai Products,28910,6,11246,3,0,0,2,0,0,2022-04-27,5,0,1,2022-04-03,2022-04-04,1
Sieradan,61496,2,1450,2,0,1,0,0,0,2022-04-28,2,0,1,2022-04-04,2022-04-04,0
Ladylikestyle bd,26171,26,39279,11,0,3,3,0,0,2022-04-28,17,0,1,2022-04-04,2022-04-04,0
Shwapno creator,45702,1,90,1,0,0,0,0,0,2022-04-25,1,0,0,2022-04-04,2022-04-04,0
Ocean Fashion,842,109,93667,24,0,3,47,6,3,2022-04-30,9,0,3,2022-04-04,2022-04-04,0
Classy Heaven,34409,1,1683,1,0,0,1,0,0,2022-04-10,0,1,0,2022-04-04,2022-04-04,0
Fairytales,35383,8,6467,6,0,0,1,1,0,2022-04-23,1,0,1,2022-04-04,2022-04-04,0
Bookshop BD,16654,48,45566,18,0,1,33,3,0,2022-04-28,32,0,2,2022-04-04,2022-04-04,0
BeautyBuyBD,28173,111,94306,12,0,2,64,8,3,2022-04-30,87,0,0,2022-04-04,2022-04-04,0
Click Flick,36716,3,195,2,0,0,3,0,0,2022-04-28,3,0,1,2022-04-04,2022-04-04,0
Moons dream house,34782,1,1660,1,0,0,1,0,0,2022-04-03,0,1,1,2022-04-03,2022-04-04,1
Imran Telecom,30908,1,110,1,0,0,0,0,0,2022-04-06,0,1,1,2022-04-04,2022-04-04,0
Sender cloud,61584,48,57915,10,0,6,2,1,1,2022-04-17,0,1,0,2022-04-04,2022-04-04,0
Generio Japan,6944,33,33392,9,0,0,20,2,1,2022-04-27,2,0,1,2022-04-04,2022-04-04,0
KAIMONO BD,6233,24,29237,11,0,1,12,1,1,2022-04-29,26,0,0,2022-04-04,2022-04-04,0
Orkid Point,6057,18,12408,11,0,0,0,0,0,2022-04-30,27,0,1,2022-04-04,2022-04-04,0
Summit publications,15700,52,11703,6,0,0,13,1,1,2022-04-28,1,0,1,2022-04-04,2022-04-04,0
Runa's Baby Dress,20513,10,6765,6,0,0,9,0,0,2022-04-20,2,0,1,2022-04-04,2022-04-04,0
The poka house,47132,4,2538,2,0,0,2,0,0,2022-04-07,0,1,0,2022-04-04,2022-04-04,0
Nokshi Katha,6267,31,76495,16,0,1,13,5,0,2022-04-26,20,0,0,2022-04-05,2022-04-05,0
Fairies World,5443,15,20190,10,0,0,6,0,0,2022-04-28,0,1,1,2022-04-04,2022-04-05,1
Caffeine-C1,57553,20,15720,11,0,2,1,1,1,2022-04-22,0,1,2,2022-04-03,2022-04-05,2
Noboshaj,51702,19,29633,9,0,2,1,0,0,2022-04-15,0,1,1,2022-04-05,2022-04-05,0
Seed Lover BD,3810,352,271187,24,0,16,146,11,3,2022-04-28,164,0,1,2022-04-03,2022-04-05,2
Areeb  Organics Ltd,28107,64,163593,20,0,1,53,4,1,2022-04-30,50,0,0,2022-04-04,2022-04-05,1
Jersey shop,40593,4,2980,3,0,0,1,0,0,2022-04-27,2,0,2,2022-04-03,2022-04-05,2
DREAM COLORS,6742,145,305583,27,0,1,60,4,1,2022-04-28,133,0,1,2022-04-02,2022-04-05,3
Royal Cloud BD,47505,19,26944,12,0,1,8,1,0,2022-04-29,9,0,1,2022-04-03,2022-04-05,2
Girls World 644,28823,15,12663,9,0,0,5,0,0,2022-04-29,13,0,1,2022-04-05,2022-04-05,0
Faisal Textile,4775,12,20133,4,0,1,3,0,0,2022-04-27,0,1,1,2022-04-03,2022-04-05,2
Figzzi,34790,22,31278,11,0,1,15,1,0,2022-04-27,8,0,1,2022-04-05,2022-04-05,0
Samrin Hasan,5412,4,15083,3,0,0,1,0,0,2022-04-29,6,0,1,2022-04-05,2022-04-05,0
S M.Hafizul Islam,45479,36,69557,18,0,4,3,2,1,2022-04-22,4,0,1,2022-04-05,2022-04-05,0
ARTINI,36690,6,27400,5,0,0,4,1,0,2022-04-26,1,0,1,2022-04-04,2022-04-05,1
NashraVa Clothing,7381,24,25575,13,0,0,0,0,0,2022-04-29,3,0,0,2022-04-05,2022-04-05,0
KHEYAL,8735,13,35615,7,0,0,2,3,2,2022-04-25,9,0,1,2022-04-03,2022-04-05,2
Ouran Arts and Crafts,38870,10,2353,7,0,0,7,1,0,2022-04-28,4,0,1,2022-04-03,2022-04-05,2
Being Beautiful,51716,14,7393,4,0,0,0,1,0,2022-04-28,4,0,1,2022-04-05,2022-04-05,0
Golden Star Feminas,16783,5,23963,5,0,0,3,0,0,2022-04-24,8,0,1,2022-04-05,2022-04-05,0
Kristung,36315,10,7540,7,0,1,2,1,0,2022-04-28,2,0,1,2022-04-04,2022-04-05,1
Banglar Khadi,39774,15,18490,9,0,0,0,2,0,2022-04-25,2,0,1,2022-04-03,2022-04-05,2
RJ Fashion house,5015,6,6002,5,0,0,3,0,0,2022-04-23,0,1,1,2022-04-05,2022-04-05,0
Hosen store plus,61012,6,5523,5,0,0,3,0,1,2022-04-25,6,0,1,2022-04-05,2022-04-05,0
TANISHASHOP,50943,8,8420,5,0,1,3,1,0,2022-04-27,8,0,1,2022-04-05,2022-04-05,0
Rokomari Gadget,15034,1,1493,1,0,0,0,1,0,2022-04-02,0,1,1,2022-04-04,2022-04-05,1
Worthwhile,8140,3,2780,1,0,0,3,0,0,2022-04-04,0,1,0,2022-04-04,2022-04-05,1
BD Organic Food,14046,6,2060,3,0,0,5,1,0,2022-04-24,1,0,0,2022-04-05,2022-04-05,0
Selling dress,24320,5,6337,4,0,0,1,0,0,2022-04-26,1,0,1,2022-04-05,2022-04-05,0
Green Apple,60621,2,1908,2,0,0,2,0,0,2022-04-06,0,1,1,2022-04-05,2022-04-05,0
Nova with Genuine Swarovski Elements,14634,2,14540,2,0,0,2,0,0,2022-04-13,0,1,0,2022-04-05,2022-04-05,0
Falak,12975,12,19323,9,0,0,10,1,0,2022-04-29,14,0,1,2022-04-05,2022-04-05,0
Royal Lady,54791,1,717,1,0,0,0,1,0,2022-04-28,2,0,1,2022-04-05,2022-04-05,0
Emon enterprise,48383,19,14480,6,0,1,0,2,1,2022-04-27,2,0,1,2022-04-03,2022-04-05,2
Sunnat,16981,7,1133,3,0,0,5,0,0,2022-04-27,0,1,1,2022-04-05,2022-04-05,0
Deshibesh Bangladesh,6038,1,3230,1,0,0,1,0,0,2022-04-24,0,1,1,2022-04-04,2022-04-05,1
Coffeemuchi,28113,2,910,2,0,0,0,0,0,2022-04-05,0,1,1,2022-04-05,2022-04-05,0
